Fiscal Year,NAICS,Employer,sum(Initial Approvals),sum(Initial Denials),ApprovalRate
2016,61,massachusetts inst of,110,0,1.0
2016,45,ebay,110,1,0.990990990990991
2019,61,washington  in st louis,110,1,0.990990990990991
2019,54,ut battelle  ornl,110,2,0.9821428571428571
2018,33,foundries,110,5,0.9565217391304348
2015,54,disnational institutes of health,110,0,1.0
2012,54,itc,109,3,0.9732142857142857
2015,33,dell marketing,109,0,1.0
2014,54,virtusa,109,0,1.0
2016,61,baylor college of medicine,109,2,0.9819819819819819
2019,51,charter,109,10,0.9159663865546218
2014,54,itc,109,16,0.872
2019,61,the trustees of preton universi,109,2,0.9819819819819819
2016,62,memorial sloan kettering cancer ce,108,0,1.0
2018,56,populus,108,69,0.6101694915254238
2012,52,citibank na,108,0,1.0
2012,33,advanced micro devices,108,1,0.9908256880733946
2018,54,kforce,108,86,0.5567010309278351
2014,54,zs,108,0,1.0
2012,61,johns hopkins,107,0,1.0
2014,51,linkedin,107,0,1.0
2017,51,the mathworks,107,3,0.9727272727272728
2012,54,infosys bpo,107,26,0.8045112781954887
2016,54,kpit info,107,3,0.9727272727272728
2017,54,synopsys,107,0,1.0
2014,54,ness,107,4,0.963963963963964
2014,54,disnatl institutes of hlth dhhs,107,1,0.9907407407407407
2018,45,wayfair,107,5,0.9553571428571429
2014,33,ericsson,106,2,0.9814814814814815
2017,54,intuit,106,3,0.9724770642201835
2014,33,hewlettpackard,106,2,0.9814814814814815
2018,49,fedex,106,14,0.8833333333333333
2012,61,washington univ in st louis,106,3,0.9724770642201835
2018,52,goldman sachs,106,11,0.905982905982906
2013,52,bank of  n a,106,0,1.0
2016,62,general hospdba mass gener,105,4,0.963302752293578
2015,54,zensar,105,2,0.9813084112149533
2013,33,hewlettpackard,105,0,1.0
2015,45,ebay,105,0,1.0
2017,54,adobe,105,0,1.0
2019,33,asml,105,14,0.8823529411764706
2014,54,splendtek,104,4,0.9629629629629629
2014,21,schlumberger,104,1,0.9904761904761905
2016,54,ut battelle  ornl,103,0,1.0
2019,54,a2z development center,103,5,0.9537037037037037
2018,61,univ of pennsylvania,103,3,0.9716981132075472
2019,61,of california la,103,1,0.9903846153846154
2014,61,baylor college of medicine,103,0,1.0
2014,54,programmer  intl,103,15,0.8728813559322034
2018,61,univ of ca san francisco,103,0,1.0
2013,61,of illinois,102,0,1.0
2013,54,systime computer,102,5,0.9532710280373832
2014,54,n,102,13,0.8869565217391304
2013,61,the univ of ia,102,1,0.9902912621359223
2018,54,vmware,102,1,0.9902912621359223
2015,61,univ of pennsylvania,102,0,1.0
2014,33,broadcom,102,1,0.9902912621359223
2012,52,merrill lynch,101,0,1.0
2015,62,mount sinai medical center,101,2,0.9805825242718447
2016,61,the trustees of preton universi,101,0,1.0
2019,54,akamai,101,3,0.9711538461538461
2019,54,aecom nical,101,8,0.926605504587156
2013,54,ness,101,5,0.9528301886792453
2016,54,colorate,101,17,0.8559322033898306
2015,54,intuit,101,0,1.0
2019,61,the ohio state,101,1,0.9901960784313726
2018,54,cgi,101,54,0.6516129032258065
2013,61,the univ of aama at birmingham,101,1,0.9901960784313726
2016,52,paypal,100,3,0.970873786407767
2015,33,nvidia,100,1,0.9900990099009901
2014,54,kforce,100,15,0.8695652173913043
2013,61,the  of texas at austin,100,1,0.9900990099009901
2016,61,of pittsburgh,100,1,0.9900990099009901
2013,61,the pennsylvania state univ,100,0,1.0
2015,54,computer sciences,99,17,0.853448275862069
2014,61,univ of california san francisco,99,1,0.99
2013,54,n,99,8,0.9252336448598131
2016,51,linkedin,99,0,1.0
2018,61,harvard univ,99,1,0.99
2013,33,marvell semiconductor,99,1,0.99
2012,52,citi  markets,99,0,1.0
2019,61,of southern california,99,1,0.99
2016,61,emory univ,99,0,1.0
2017,56,grandison management,99,13,0.8839285714285714
2015,61,of florida,99,1,0.99
2019,62,cleveland clinic foundation,99,3,0.9705882352941176
2013,54,agility,99,1,0.99
2014,33,motorola mobility,99,1,0.99
2013,54,mu sigma,98,2,0.98
2013,62,the gen hospitaldba mass gen,98,1,0.98989898989899
2012,54,zensar,98,6,0.9423076923076923
2015,54,synechron,98,2,0.98
2013,61,vanderbilt univ,98,0,1.0
2017,61,the  of iowa,98,0,1.0
2015,54,cgi  and,98,3,0.9702970297029703
2013,61,of ca san diego,98,1,0.98989898989899
2012,61,of florida,98,0,1.0
2014,54,cmc,97,2,0.9797979797979798
2014,52,bank of  na,97,1,0.9897959183673469
2016,52,credit suisse securities,97,0,1.0
2014,54,reliableware,97,11,0.8981481481481481
2017,54,aricent  s,97,5,0.9509803921568627
2018,52,blackrock  management,97,2,0.9797979797979798
2014,54,orion  integrators,97,6,0.941747572815534
2013,54,reliableware,97,16,0.8584070796460177
2013,56,grandison management,97,3,0.97
2012,52,paypal,97,0,1.0
2013,61,northwestern univ,97,0,1.0
2013,61,the ohio state,97,0,1.0
2012,54,headstrong,97,3,0.97
2019,61,northwestern,96,0,1.0
2019,54,natsoft,96,8,0.9230769230769231
2017,54,epic,96,1,0.9896907216494846
2016,54,cyient,96,9,0.9142857142857143
2015,61,univ of pittsburgh,96,0,1.0
2016,61,purdue univ,96,3,0.9696969696969697
2013,54,ciber,96,6,0.9411764705882353
2016,54,reliableware,96,17,0.8495575221238938
2015,56,populus,96,9,0.9142857142857143
2016,54,emc,96,1,0.9896907216494846
2019,33,advanced micro devices,96,2,0.9795918367346939
2014,61,univ of pennsylvania,96,1,0.9896907216494846
2014,61,the univ of iowa,96,0,1.0
2014,54,headstrong,96,2,0.9795918367346939
2015,61,mayo clinic,96,3,0.9696969696969697
2017,61,yale,96,0,1.0
2019,61,of california san diego,96,0,1.0
2017,61,the  of chicago,95,0,1.0
2012,61,emory univ,95,2,0.979381443298969
2017,54,cyient,95,8,0.9223300970873787
2012,54,igate,95,0,1.0
2014,61,univ of pittsburgh,95,1,0.9895833333333334
2012,54,capgemini    (,95,7,0.9313725490196079
2013,51,bloomberg,95,1,0.9895833333333334
2016,54,virtusa,95,8,0.9223300970873787
2017,62,cleveland clinic foundation,94,1,0.9894736842105263
2015,33,marvell semiconductor,94,1,0.9894736842105263
2015,61,purdue univ,94,1,0.9894736842105263
2015,62,the gen hospdba ma gen hos,94,0,1.0
2015,61,the  of iowa,94,0,1.0
2017,33,applied materials,94,2,0.9791666666666666
2014,61,the ohio state univ,94,3,0.9690721649484536
2014,54,rsware india,94,6,0.94
2015,54,airwatch,94,0,1.0
2014,61,univ of florida,93,0,1.0
2018,33,hughes,93,1,0.9893617021276596
2016,61,univ of illinois at urbana champai,93,0,1.0
2018,61,univ of wisconsin madison,93,1,0.9893617021276596
2012,52,credit suisse securities,93,0,1.0
2013,42,samsung tele,93,0,1.0
2018,33,advanced micro devices,92,2,0.9787234042553191
2019,54,prokarma,92,17,0.8440366972477065
2017,33,advanced micro devices,92,1,0.989247311827957
2015,61,the  of chicago,92,2,0.9787234042553191
2016,54,zensar,92,1,0.989247311827957
2015,54,hitachi,92,2,0.9787234042553191
2019,54,birlasoft,92,41,0.6917293233082706
2017,54,tavant,92,3,0.968421052631579
2013,61,mayo clinic,92,1,0.989247311827957
2019,61,baylor college of medicine,92,1,0.989247311827957
2017,61,the pennsylvania state univ,92,0,1.0
2015,61,the ohio state,92,1,0.989247311827957
2012,54,salesforcecom,92,1,0.989247311827957
2019,61,ut southwestern medical center,91,5,0.9479166666666666
2015,61,of california berkeley,91,0,1.0
2014,61,johns hopkins univ,91,0,1.0
2012,54,cmc,91,3,0.9680851063829787
2012,61,univ of chicago,91,1,0.9891304347826086
2015,61,of ca san francisco,91,0,1.0
2017,54,natsoft,91,21,0.8125
2012,54,oracle  ware,91,2,0.978494623655914
2017,42,a2z development center  dba ama,91,1,0.9891304347826086
2014,61,univ of illinois,91,1,0.9891304347826086
2014,52,paypal,91,1,0.9891304347826086
2017,54,iblesoft,91,1,0.9891304347826086
2015,61,washington univ in st louis,91,2,0.978494623655914
2015,61,massachusetts inst of,91,0,1.0
2014,61,masachusetts institute of,90,0,1.0
2017,61,the ohio state univ,90,0,1.0
2013,61,univ of chicago,90,1,0.989010989010989
2013,54,juniper,90,1,0.989010989010989
2015,54,avco,90,2,0.9782608695652174
2017,54,citius,90,8,0.9183673469387755
2016,61,of florida,90,0,1.0
2017,33,micron,90,1,0.989010989010989
2014,52,n express travel related se,90,0,1.0
2016,61,univ of ca san diego,90,2,0.9782608695652174
2016,62,icahn school of medicine at mount,90,0,1.0
2018,61,of pittsburgh,90,4,0.9574468085106383
2017,54,csc covansys,90,7,0.9278350515463918
2018,61,of florida,90,1,0.989010989010989
2016,52,morgan stanley,89,2,0.978021978021978
2012,61,cosmos fdn  dba harmoney schs,89,0,1.0
2016,54,natsoft,89,13,0.8725490196078431
2018,52,capital one,89,16,0.8476190476190476
2014,61,univ of ca san diego,89,2,0.978021978021978
2017,61,of california san franc,89,2,0.978021978021978
2019,61,massachusetts institute of nol,89,0,1.0
2019,54,compunnelware,89,19,0.8240740740740741
2014,54,oracle  ware,89,4,0.956989247311828
2017,61,of florida,89,5,0.9468085106382979
2019,61,of virginia,89,2,0.978021978021978
2019,62,icahn sch of medicine at mount sin,89,1,0.9888888888888889
2016,54,microinfo,89,7,0.9270833333333334
2014,62,cleveland clinic fdn,88,2,0.9777777777777777
2015,61,univ of washington,88,0,1.0
2014,54,photon,88,0,1.0
2019,61,the  of iowa,88,3,0.967032967032967
2013,54,kforce,88,12,0.88
2015,61,baylor college of medicine,88,1,0.9887640449438202
2015,54,oberon,87,2,0.9775280898876404
2014,62,mount sinai med ctr,87,0,1.0
2012,56,populus,87,3,0.9666666666666667
2014,54,fujitsu,87,4,0.9560439560439561
2016,54,kforce,87,15,0.8529411764705882
2013,54,howard hughes medical institute,87,0,1.0
2014,54,logic planet,87,1,0.9886363636363636
2018,61,the trustees of preton universi,87,1,0.9886363636363636
2015,61,of california san diego,87,0,1.0
2019,21,schlumberger,87,9,0.90625
2017,62,icahn sch of medicine at mt sinai,87,2,0.9775280898876404
2016,61,the ohio state,87,2,0.9775280898876404
2019,54,dana farber cancer institute,87,1,0.9886363636363636
2017,61,washington univ in st louis,87,0,1.0
2019,54,ibm india private,86,25,0.7747747747747747
2015,51,the mathworks,86,1,0.9885057471264368
2012,54,upani consultants,86,1,0.9885057471264368
2016,61,of utah,86,1,0.9885057471264368
2019,52,state street bank  trust,86,4,0.9555555555555556
2017,61,northwestern,86,0,1.0
2019,61,the pennsylvania state,86,0,1.0
2019,54,symantec,86,1,0.9885057471264368
2018,62,icahn school of medicine at mount,86,3,0.9662921348314607
2015,61,univ of illinois at urbana champa,86,1,0.9885057471264368
2014,51,the mathworks,86,1,0.9885057471264368
2017,54,persistent,86,7,0.9247311827956989
2018,54,intuit,86,5,0.945054945054945
2012,61,the univ of tx southwestern med ce,85,0,1.0
2015,54,virtusa,85,0,1.0
2013,61,univ of maryland,85,1,0.9883720930232558
2017,61,of minnesota,85,0,1.0
2013,61,univ of wisconsin madison,85,0,1.0
2012,61,the  of iowa,85,1,0.9883720930232558
2014,54,smartplay,85,0,1.0
2012,54,the boston,85,1,0.9883720930232558
2016,54,adobe,85,0,1.0
2013,54,yash,85,6,0.9340659340659341
2012,33,hewlettpackard,85,1,0.9883720930232558
2018,54,expedia,85,2,0.9770114942528736
2019,53,zillow,85,3,0.9659090909090909
2014,61,the pennsylvania state univ,85,1,0.9883720930232558
2014,54,citius,85,7,0.9239130434782609
2018,61,the univ of iowa,85,4,0.9550561797752809
2017,61,the trustees of preton univ,84,1,0.9882352941176471
2016,61,univ of wisconsin madison,84,0,1.0
2014,54,avco,84,7,0.9230769230769231
2017,56,health carousel,84,0,1.0
2013,61,univ of ca san francisco,84,0,1.0
2016,61,north carolina state,84,1,0.9882352941176471
2017,33,foundries,84,1,0.9882352941176471
2016,54,exilant  private,84,2,0.9767441860465116
2012,54,exilant  pvt,84,1,0.9882352941176471
2012,54,persistent,84,0,1.0
2013,61,columbia,84,1,0.9882352941176471
2018,61,ma inst of,84,0,1.0
2014,52,morgan stanley  formerly m,84,0,1.0
2013,61,univ of washington,84,1,0.9882352941176471
2012,61,univ of ca los angeles,84,0,1.0
2012,54,yash,84,2,0.9767441860465116
2013,54,competent,83,0,1.0
2015,54,salesforcecom,83,0,1.0
2016,54,deloitte tax,83,1,0.9880952380952381
2015,61,the univ of tx md anderson cancer,83,0,1.0
2012,61,the univ of tx md anderson cancer,83,1,0.9880952380952381
2013,61,univ of fl,83,0,1.0
2014,54,brillio,83,8,0.9120879120879121
2015,61,univ of tx southwestern med ctr,83,1,0.9880952380952381
2013,54,yash  lujan,83,1,0.9880952380952381
2014,52,merrill lynch,83,0,1.0
2012,61,baylor college of medicine,83,1,0.9880952380952381
2014,61,the univ of texas at austin,83,0,1.0
2013,61,the univ of tx southwestern med ce,83,2,0.9764705882352941
2013,61,massachusetts inst of,83,2,0.9764705882352941
2018,52,citi  markets,83,6,0.9325842696629213
2013,61,michigan state univ,83,1,0.9880952380952381
2018,54,colera,83,15,0.8469387755102041
2019,54,tek,83,56,0.5971223021582733
2014,56,populus,83,5,0.9431818181818182
2017,54,reliableware,82,10,0.8913043478260869
2013,54,intelli,82,0,1.0
2018,61,of southern california,82,0,1.0
2013,61,cornell  isso,82,1,0.9879518072289156
2013,61,of ca los angeles,82,0,1.0
2014,61,of texas southwestern m,82,0,1.0
2012,54,amdocs,82,2,0.9761904761904762
2012,61,duke univ univ med ctr  affil ins,82,1,0.9879518072289156
2013,61,of california davis,82,0,1.0
2018,54,kpit info,82,34,0.7068965517241379
2013,62,united healthcare,82,0,1.0
2016,33,ericsson,82,1,0.9879518072289156
2015,54,3i,82,3,0.9647058823529412
2013,54,calsoft,82,2,0.9761904761904762
2014,54,juniper,82,0,1.0
2015,61,univ of california los angeles,82,0,1.0
2016,61,northwestern,82,0,1.0
2016,54,csc covansys,82,4,0.9534883720930233
2016,54,hitachi,82,2,0.9761904761904762
2015,54,engineering,82,0,1.0
2014,61,of wisconsin madison,82,1,0.9879518072289156
2014,54,twitter,82,1,0.9879518072289156
2015,61,the univ of aama at birmingham,82,1,0.9879518072289156
2016,54,the boston,82,2,0.9761904761904762
2012,54,fujitsu,82,1,0.9879518072289156
2019,61,univ of aama at birmingham,82,0,1.0
2019,54,netapp,81,11,0.8804347826086957
2016,61,univ of ca davis,81,2,0.9759036144578314
2012,54,howard hughes medical institute,81,0,1.0
2014,61,univ of maryland,81,0,1.0
2015,54,symantec,81,0,1.0
2018,33,applied materials,81,13,0.8617021276595744
2017,54,hewlett packard enterprise,81,1,0.9878048780487805
2016,61,the  of iowa,81,0,1.0
2015,52,citibank na,81,0,1.0
2014,54,salesforcecom,81,0,1.0
2013,33,texas instruments,81,1,0.9878048780487805
2013,56,populus,81,4,0.9529411764705882
2019,61,purdue univ,81,1,0.9878048780487805
2012,54,anira,80,0,1.0
2014,54,howard hughes med institute,80,1,0.9876543209876543
2016,61,univ of southern california,80,0,1.0
2016,61,the univ of aama at birmingham,80,3,0.963855421686747
2018,61,michigan state,80,1,0.9876543209876543
2019,61,of california davis,80,1,0.9876543209876543
2019,62,general hospdba mass gener,80,0,1.0
2015,61,univ of illinois at chicago,80,0,1.0
2017,61,univ of california los angeles,80,0,1.0
2013,54,igate   an igate co,80,0,1.0
2014,61,mayo clinic,80,1,0.9876543209876543
2016,54,birlasoft,80,2,0.975609756097561
2015,62,cleveland clinic foundation,80,0,1.0
2015,33,foundries,80,0,1.0
2012,42,samsung tele,80,0,1.0
2013,54,rsware india,80,7,0.9195402298850575
2017,33,intel mobile,80,0,1.0
2015,51,amazon,80,0,1.0
2013,54,computer sciences,80,3,0.963855421686747
2019,51,comcast cable,80,4,0.9523809523809523
2019,54,citrix,80,4,0.9523809523809523
2014,54,systime computer,79,0,1.0
2013,33,qualcomm atheros,79,0,1.0
2013,54,synechron,79,0,1.0
2019,61,of california berkeley,79,0,1.0
2017,54,cgi,79,15,0.8404255319148937
2017,61,new york univ school of medicine,79,0,1.0
2018,54,quest   na,79,15,0.8404255319148937
2015,61,the trustees of preton univ,79,0,1.0
2019,33,kla tencor,79,2,0.9753086419753086
2012,61,univ of ca davis,79,0,1.0
2013,33,ericsson,79,0,1.0
2019,54,zensar,79,28,0.7383177570093458
2017,54,colera,79,4,0.9518072289156626
2018,33,micron,79,2,0.9753086419753086
2014,33,alcatellucent,79,0,1.0
2012,52,capital one,79,0,1.0
2019,52,bofaml securities,79,7,0.9186046511627907
2019,51,ye,79,2,0.9753086419753086
2012,61,northwestern univ,79,1,0.9875
2015,61,univ of california davis,79,1,0.9875
2018,45,ebay,79,3,0.9634146341463414
2016,56,mgt health syss  dba medpro,78,4,0.9512195121951219
2016,33,micron,78,1,0.9873417721518988
2019,61,dallas independent school district,78,0,1.0
2018,52,barclays,78,2,0.975
2015,54,mar,78,3,0.9629629629629629
2019,61,arizona state,78,1,0.9873417721518988
2012,54,cerner,78,0,1.0
2019,61,of maryland,78,1,0.9873417721518988
2017,54,brillio,78,5,0.9397590361445783
2016,61,univ of california los angeles,78,0,1.0
2014,61,washington univ in st louis,78,2,0.975
2012,54,csc covansys,77,2,0.9746835443037974
2015,61,the pennsylvania state univ,77,0,1.0
2013,54,orian engineers,77,1,0.9871794871794872
2018,42,a2z development ctr  dba 126,77,2,0.9746835443037974
2016,62,cleveland clinic foundation,77,1,0.9871794871794872
2016,54,vmware,77,0,1.0
2012,61,the univ of aama at birmingham,77,2,0.9746835443037974
2019,54,microstrategy,77,3,0.9625
2017,61,the univ of al at birmingham uab,77,1,0.9871794871794872
2014,45,sears s mgt,77,0,1.0
2014,61,univ of california los angeles,77,0,1.0
2018,54,nagarro,77,5,0.9390243902439024
2015,54,persistent,77,2,0.9746835443037974
2014,54,apex,77,3,0.9625
2018,52,visa  operations,77,2,0.9746835443037974
2012,54,majescomastek,77,3,0.9625
2014,33,freescale semiconductor,77,0,1.0
2013,61,nyu school of medicine,77,1,0.9871794871794872
2019,61,univ of il at urbana champaign,77,0,1.0
2013,54,the boston,77,5,0.9390243902439024
2014,54,fusion plus,77,10,0.8850574712643678
2013,52,fidelity investments,76,0,1.0
2015,54,ut battelle  ornl,76,0,1.0
2012,52,barclays,76,0,1.0
2016,61,of virginia,76,1,0.987012987012987
2019,54,randstad,76,7,0.9156626506024096
2012,62,the gen hospitaldba ma gen h,76,0,1.0
2014,54,3i,76,1,0.987012987012987
2012,54,reliableware,76,6,0.926829268292683
2016,61,univ of massachusetts med school,76,0,1.0
2019,56,airbnb,76,3,0.9620253164556962
2015,52,capital one,76,0,1.0
2014,54,htc,76,2,0.9743589743589743
2012,54,ciber,76,0,1.0
2016,61,duke  univ med ctr  aff,76,0,1.0
2019,54,cyient,76,9,0.8941176470588236
2014,54,delta  ware,76,3,0.9620253164556962
2012,61,mayo clinic,76,2,0.9743589743589743
2019,62,st jude children s research hosp,76,2,0.9743589743589743
2017,52,capital one,76,0,1.0
2018,52,citibank na,76,8,0.9047619047619048
2013,61,univ of il at chicago,76,1,0.987012987012987
2013,62,children s hospital,75,1,0.9868421052631579
2012,54,zs,75,0,1.0
2017,54,xoriant,75,6,0.9259259259259259
2019,62,brigham and women s hospital,75,0,1.0
2016,61,arizona state,75,0,1.0
2015,61,northwestern,75,0,1.0
2017,54,emc,75,2,0.974025974025974
2016,33,foundries,75,0,1.0
2013,52,morgan stanley,75,1,0.9868421052631579
2015,61,of maryland,75,0,1.0
2019,56,moodys analytics,75,8,0.9036144578313253
2012,51,linkedin,75,0,1.0
2015,54,the boston,75,0,1.0
2017,61,univ of tx southwestern med ctr,75,1,0.9868421052631579
2012,33,applied materials,75,1,0.9868421052631579
2012,54,sap,75,0,1.0
2013,62,mount sinai med ctr,75,1,0.9868421052631579
2013,61,the univ of tx md anderson cancer,75,0,1.0
2014,61,michigan state univ,74,0,1.0
2017,54,fujitsu,74,4,0.9487179487179487
2012,61,of utah,74,0,1.0
2015,54,niit,74,0,1.0
2014,61,duke univ univ med ctr  affil ins,74,0,1.0
2017,33,cadence design,74,1,0.9866666666666667
2012,54,yash  lujan,74,1,0.9866666666666667
2012,61,the univ of tx  admin,74,0,1.0
2017,61,of southern california,74,1,0.9866666666666667
2019,61,texas am,74,1,0.9866666666666667
2015,54,avant,74,4,0.9487179487179487
2019,54,fujitsu,74,4,0.9487179487179487
2014,61,the univ of al at birmingham uab,74,1,0.9866666666666667
2017,61,the  of texas md anderso,74,1,0.9866666666666667
2019,61,univ of illinois at chicago,74,1,0.9866666666666667
2015,54,polarisware  india,74,0,1.0
2012,62,children s hospital,74,1,0.9866666666666667
2018,54,infosys,74,81,0.4774193548387097
