skill,salary
Kubernetes,87000
Kubernetes,88000
Kubernetes,88254
Kubernetes,90000
Kubernetes,90000
Kubernetes,100700
Kubernetes,105000
Kubernetes,106380
Kubernetes,106586
Kubernetes,111300
Kubernetes,114639
Kubernetes,115000
Kubernetes,122674
Kubernetes,80000
Kubernetes,83000
Kubernetes,95460
Kubernetes,100000
Kubernetes,102129
Kubernetes,102695
Kubernetes,104790
Kubernetes,105000
Kubernetes,109762
Kubernetes,109762
Kubernetes,109803
Kubernetes,111161
Kubernetes,112204
Kubernetes,113000
Kubernetes,114000
Kubernetes,115920
Kubernetes,117156
Kubernetes,118250
Kubernetes,120000
Kubernetes,120000
Kubernetes,120000
Kubernetes,120789
Kubernetes,122000
Kubernetes,122266
Kubernetes,122522
Kubernetes,122952
Kubernetes,123942
Kubernetes,123942
Kubernetes,124163
Kubernetes,125000
Kubernetes,125000
Kubernetes,126000
Kubernetes,126000
Kubernetes,126000
Kubernetes,126062
Kubernetes,126988
Kubernetes,128077
Kubernetes,128520
Kubernetes,128520
Kubernetes,129062
Kubernetes,129076
Kubernetes,129076
Kubernetes,129080
Kubernetes,129780
Kubernetes,129780
Kubernetes,130000
Kubernetes,130000
Kubernetes,130000
Kubernetes,130000
Kubernetes,130000
Kubernetes,130000
Kubernetes,130000
Kubernetes,130000
Kubernetes,130000
Kubernetes,130560
Kubernetes,131000
Kubernetes,131269
Kubernetes,131306
Kubernetes,132000
Kubernetes,132252
Kubernetes,132777
Kubernetes,132960
Kubernetes,133900
Kubernetes,133921
Kubernetes,134182
Kubernetes,134820
Kubernetes,135000
Kubernetes,135000
Kubernetes,135000
Kubernetes,135000
Kubernetes,135000
Kubernetes,135000
Kubernetes,135000
Kubernetes,135000
Kubernetes,135000
Kubernetes,137500
Kubernetes,138191
Kubernetes,138204
Kubernetes,138204
Kubernetes,139100
Kubernetes,139100
Kubernetes,139230
Kubernetes,139338
Kubernetes,140000
Kubernetes,140000
Kubernetes,140000
Kubernetes,141120
Kubernetes,142817
Kubernetes,145000
Kubernetes,145000
Kubernetes,145000
Kubernetes,145000
Kubernetes,147000
Kubernetes,150000
Kubernetes,150000
Kubernetes,150528
Kubernetes,152068
Kubernetes,152225
Kubernetes,152225
Kubernetes,102695
Kubernetes,109095
Kubernetes,111157
Kubernetes,111650
Kubernetes,113300
Kubernetes,114233
Kubernetes,115000
Kubernetes,117300
Kubernetes,117300
Kubernetes,122674
Kubernetes,124338
Kubernetes,124373
Kubernetes,125000
Kubernetes,125000
Kubernetes,130000
Kubernetes,130000
Kubernetes,130122
Kubernetes,131946
Kubernetes,137000
Kubernetes,138000
Kubernetes,138884
Kubernetes,138884
Kubernetes,139230
Kubernetes,139250
Kubernetes,139994
Kubernetes,114450
Kubernetes,130000
Kubernetes,180000
Kubernetes,57512
Kubernetes,57512
Kubernetes,60258
Kubernetes,68390
Kubernetes,85000
Kubernetes,85000
Kubernetes,85000
Kubernetes,87306
Kubernetes,98342
Kubernetes,100504
Kubernetes,113118
Kubernetes,115566
Kubernetes,138915
Kubernetes,140000
Kubernetes,140000
Kubernetes,150000
Kubernetes,161000
Kubernetes,163000
Kubernetes,74402
Kubernetes,100000
Kubernetes,100000
Kubernetes,168366
Kubernetes,168366
Kubernetes,168366
Kubernetes,88733
Kubernetes,90604
Kubernetes,90959
Kubernetes,90959
Kubernetes,113000
Kubernetes,113000
Kubernetes,113000
Kubernetes,117268
Kubernetes,120000
Kubernetes,120000
Kubernetes,125000
Kubernetes,128820
Kubernetes,131124
Kubernetes,133640
Kubernetes,109000
Kubernetes,161939
Kubernetes,137500
Kubernetes,125000
Kubernetes,159214
Kubernetes,72717
Kubernetes,68850
Kubernetes,68850
Kubernetes,68850
Kubernetes,71000
Kubernetes,80500
Kubernetes,86507
Kubernetes,65874
Kubernetes,71365
Kubernetes,78624
Kubernetes,79518
Kubernetes,93933
Kubernetes,75000
Kubernetes,130000
Kubernetes,80000
Kubernetes,77750
Kubernetes,130000
Docker,75000
Docker,75000
Docker,95000
Docker,950000
Docker,115000
Docker,73445
Docker,95000
Docker,133000
Docker,82000
Docker,140000
Docker,62000
Docker,118000
Docker,66186
Docker,78510
Docker,99800
Docker,70949
Docker,112120
Docker,115000
Docker,105000
Docker,97000
Docker,87859
Docker,105000
Docker,105000
Docker,117000
Docker,117000
Docker,124000
Docker,133000
Docker,137000
Docker,147200
Docker,148000
Docker,110000
Docker,124000
Docker,90000
Docker,94950
Docker,75982
Docker,78811
Docker,78811
Docker,83075
Docker,83595
Docker,92481
Docker,70034
Docker,80586
Docker,88275
Docker,88275
Docker,76960
Docker,79456
Docker,79963
Docker,83075
Docker,88275
Docker,88275
Docker,88275
Docker,80823
Docker,81702
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,84926
Docker,85010
Docker,92352
Docker,94432
Docker,94432
Docker,94432
Docker,84500
Docker,85251
Docker,85482
Docker,85482
Docker,85482
Docker,85848
Docker,85848
Docker,85941
Docker,85941
Docker,88237
